With filtering out non-convergence results
(10, 'hilbert')
1:  {'name': 'fbcgsr with ksp', 'time': 0.0001270771026611328, 'residual_norm': 0.0007983482128535738, 'num_of_iterations': 1}
2:  {'name': 'fbcgsr with redistribute', 'time': 0.00014495849609375, 'residual_norm': 0.0007983482128535738, 'num_of_iterations': 1}
3:  {'name': 'qmrcgs with lu', 'time': 5.745887756347656e-05, 'residual_norm': 0.0008108619150587469, 'num_of_iterations': 1}
4:  {'name': 'qmrcgs with redundant', 'time': 6.985664367675781e-05, 'residual_norm': 0.0008108619150587469, 'num_of_iterations': 1}
5:  {'name': 'fgmres with asm', 'time': 0.00030303001403808594, 'residual_norm': 0.0008365589720655458, 'num_of_iterations': 2}
6:  {'name': 'fgmres with bjacobi', 'time': 0.00025725364685058594, 'residual_norm': 0.0008365589720655458, 'num_of_iterations': 2}
7:  {'name': 'fgmres with gasm', 'time': 0.0002655982971191406, 'residual_norm': 0.0008365589720655458, 'num_of_iterations': 2}
8:  {'name': 'fgmres with ilu', 'time': 8.654594421386719e-05, 'residual_norm': 0.0008365589720655458, 'num_of_iterations': 2}
9:  {'name': 'fgmres with telescope', 'time': 0.0002932548522949219, 'residual_norm': 0.0008365589720655458, 'num_of_iterations': 2}
10:  {'name': 'none with asm', 'time': 0.00015807151794433594, 'residual_norm': 0.0008643715771593234, 'num_of_iterations': 1}
(494, 'power network problem_HB_494_bus')
1:  {'name': 'fbcgsr with icc', 'time': 0.0049037933349609375, 'residual_norm': 2.1359541974661588e-09, 'num_of_iterations': 1}
2:  {'name': 'fbcgsr with lu', 'time': 0.0058956146240234375, 'residual_norm': 2.2684743969233037e-09, 'num_of_iterations': 1}
3:  {'name': 'fbcgsr with redundant', 'time': 0.005196332931518555, 'residual_norm': 2.2684743969233037e-09, 'num_of_iterations': 1}
4:  {'name': 'fbcgs with lu', 'time': 0.004678964614868164, 'residual_norm': 2.4313976346223656e-09, 'num_of_iterations': 1}
5:  {'name': 'fbcgs with redundant', 'time': 0.0046007633209228516, 'residual_norm': 2.4313976346223656e-09, 'num_of_iterations': 1}
6:  {'name': 'qmrcgs with lu', 'time': 0.005308628082275391, 'residual_norm': 2.4313976346223656e-09, 'num_of_iterations': 1}
7:  {'name': 'qmrcgs with redundant', 'time': 0.009123086929321289, 'residual_norm': 2.4313976346223656e-09, 'num_of_iterations': 1}
8:  {'name': 'pipebcgs with cholesky', 'time': 0.009099960327148438, 'residual_norm': 2.5205260125680223e-09, 'num_of_iterations': 1}
9:  {'name': 'fbcgs with ksp', 'time': 0.011246204376220703, 'residual_norm': 2.5273618873927724e-09, 'num_of_iterations': 1}
10:  {'name': 'fbcgs with redistribute', 'time': 0.014532804489135742, 'residual_norm': 2.5273618873927724e-09, 'num_of_iterations': 1}
(250, 'random')
1:  {'name': 'fbcgs with lu', 'time': 0.0009000301361083984, 'residual_norm': 7.127511391599714e-13, 'num_of_iterations': 1}
2:  {'name': 'fbcgs with redundant', 'time': 0.0014493465423583984, 'residual_norm': 7.127511391599714e-13, 'num_of_iterations': 1}
3:  {'name': 'qmrcgs with lu', 'time': 0.0013225078582763672, 'residual_norm': 7.127511391599714e-13, 'num_of_iterations': 1}
4:  {'name': 'qmrcgs with redundant', 'time': 0.0013310909271240234, 'residual_norm': 7.127511391599714e-13, 'num_of_iterations': 1}
5:  {'name': 'fbcgsr with ksp', 'time': 0.0020766258239746094, 'residual_norm': 7.28120057774997e-13, 'num_of_iterations': 1}
6:  {'name': 'fbcgsr with redistribute', 'time': 0.0027348995208740234, 'residual_norm': 7.28120057774997e-13, 'num_of_iterations': 1}
7:  {'name': 'fbcgs with ksp', 'time': 0.002105712890625, 'residual_norm': 7.665105453054481e-13, 'num_of_iterations': 1}
