With filtering out non-convergence results
(10, 'hilbert')
1:  {'name': 'fbcgsr with ksp', 'time': 0.0001270771026611328, 'residual_norm': 0.0007983482128535738, 'num_of_iterations': 1}
2:  {'name': 'fbcgsr with redistribute', 'time': 0.00014495849609375, 'residual_norm': 0.0007983482128535738, 'num_of_iterations': 1}
3:  {'name': 'qmrcgs with lu', 'time': 5.745887756347656e-05, 'residual_norm': 0.0008108619150587469, 'num_of_iterations': 1}
4:  {'name': 'qmrcgs with redundant', 'time': 6.985664367675781e-05, 'residual_norm': 0.0008108619150587469, 'num_of_iterations': 1}
5:  {'name': 'fgmres with asm', 'time': 0.00030303001403808594, 'residual_norm': 0.0008365589720655458, 'num_of_iterations': 2}
6:  {'name': 'fgmres with bjacobi', 'time': 0.00025725364685058594, 'residual_norm': 0.0008365589720655458, 'num_of_iterations': 2}
7:  {'name': 'fgmres with gasm', 'time': 0.0002655982971191406, 'residual_norm': 0.0008365589720655458, 'num_of_iterations': 2}
8:  {'name': 'fgmres with ilu', 'time': 8.654594421386719e-05, 'residual_norm': 0.0008365589720655458, 'num_of_iterations': 2}
9:  {'name': 'fgmres with telescope', 'time': 0.0002932548522949219, 'residual_norm': 0.0008365589720655458, 'num_of_iterations': 2}
10:  {'name': 'none with asm', 'time': 0.00015807151794433594, 'residual_norm': 0.0008643715771593234, 'num_of_iterations': 1}
11:  {'name': 'none with bjacobi', 'time': 0.00016117095947265625, 'residual_norm': 0.0008643715771593234, 'num_of_iterations': 1}
12:  {'name': 'none with gasm', 'time': 0.0001423358917236328, 'residual_norm': 0.0008643715771593234, 'num_of_iterations': 1}
13:  {'name': 'none with ilu', 'time': 1.6689300537109375e-05, 'residual_norm': 0.0008643715771593234, 'num_of_iterations': 1}
14:  {'name': 'none with telescope', 'time': 0.00019502639770507812, 'residual_norm': 0.0008643715771593234, 'num_of_iterations': 1}
15:  {'name': 'preonly with asm', 'time': 0.00016117095947265625, 'residual_norm': 0.0008643715771593234, 'num_of_iterations': 1}
16:  {'name': 'preonly with bjacobi', 'time': 0.00013947486877441406, 'residual_norm': 0.0008643715771593234, 'num_of_iterations': 1}
17:  {'name': 'preonly with gasm', 'time': 0.00016617774963378906, 'residual_norm': 0.0008643715771593234, 'num_of_iterations': 1}
18:  {'name': 'preonly with ilu', 'time': 1.6689300537109375e-05, 'residual_norm': 0.0008643715771593234, 'num_of_iterations': 1}
19:  {'name': 'preonly with telescope', 'time': 0.00015807151794433594, 'residual_norm': 0.0008643715771593234, 'num_of_iterations': 1}
20:  {'name': 'none with icc', 'time': 1.4781951904296875e-05, 'residual_norm': 0.0008748853048821104, 'num_of_iterations': 1}
21:  {'name': 'preonly with icc', 'time': 1.4543533325195312e-05, 'residual_norm': 0.0008748853048821104, 'num_of_iterations': 1}
22:  {'name': 'pipecg2 with asm', 'time': 0.0002562999725341797, 'residual_norm': 0.0009179115130171944, 'num_of_iterations': 2}
23:  {'name': 'pipecg2 with bjacobi', 'time': 0.0003120899200439453, 'residual_norm': 0.0009179115130171944, 'num_of_iterations': 2}
24:  {'name': 'pipecg2 with gasm', 'time': 0.0002334117889404297, 'residual_norm': 0.0009179115130171944, 'num_of_iterations': 2}
25:  {'name': 'pipecg2 with ilu', 'time': 9.655952453613281e-05, 'residual_norm': 0.0009179115130171944, 'num_of_iterations': 2}
26:  {'name': 'pipecg2 with telescope', 'time': 0.00021386146545410156, 'residual_norm': 0.0009179115130171944, 'num_of_iterations': 2}
27:  {'name': 'pipecg with asm', 'time': 0.0002586841583251953, 'residual_norm': 0.0009252645432320936, 'num_of_iterations': 1}
28:  {'name': 'pipecg with bjacobi', 'time': 0.0002694129943847656, 'residual_norm': 0.0009252645432320936, 'num_of_iterations': 1}
